sentence,label
"""அவன் கம்ப்யூட்டர் இன்ஜினியருங்க. அவன் கேட்கறதுக்கு பதில் சொல்லுங்க"" என்று கேபிள்காரரிடம் கோபப்பட்ட போது அப்பாவின் கண்களில் மிளிர்ந்தது 'படிக்க வைத்த பெருமை'",Anger
"""கோவம் வந்தா கோழி P யில கை வைக்கனுமாம் "" 😄😄 ஐயா சொல்றாங்க.!😄",Anger
"""பஸ்ஸுக்குள்ளே ஃபோன் பேசி எல்லாரையும் தொந்தரவு பண்ண வேண்டாம். கண்டிப்பா பேசத்தான் வேணும்ன்னா அடுத்த சீட்டுக்குக் கேக்காம மெதுவா பேசுங்க.""",Anger
# குசு பான்ஸ் மன குமுறல்.இவனுக்கு ரசிகனாக இருப்பது ரொம்ப கொடுமைங்க இவான் எப்படி இருந்தாலும் & படம் பிளாப் ஹா இருந்தாலும் மாசு டா ஹார்ட் ஓர்க்கு டா மெகா blockbuster daa கூவனும். போடுற மொக்க tag க்கு சொம்பு துக்கணும் விஜய் fansகிட்ட செருப்படி வாங்கணும்போதும்டா சாமி😭 pic.twitter.com/sL4KqisiIz,Anger
"#1319 ""தன்னை உணர்த்தினும் காயும் பிறர்க்குநீர் இந்நீரர் ஆகுதிர் என்று""சண்டையிட்டுக் கோபமாக இருந்தபோது நளினமாக முத்தமிட்டுச் சண்டையைத் தீர்த்தாலும்...நீ இதிலே நல்ல அனுபவசாலியாக இருக்க... போ..என்று மறுபடியும் கோபம் கொள்கிறாள்....😂😂 pic.twitter.com/A3c4sJ0r3B",Anger
*ஆண்டாள்🙏 பற்றிய சர்ச்சை பேச்சுக்கு🗣 வருத்தம் தெரிவித்த வைரமுத்து✍!*இந்துக்கள் மனம் புண்படும் வகையில் பேசியதாக...,Anger
*கடலில் தவறி விழுந்து பாம்பன் மீனவர் பலி* நடுக்கடலில் மீன்பிடித்துக்கொண்டிருந்த பாம்பன் பகுதியைச்சேர்ந்த மீனவர் சசி(29) கடல் சீற்றம் காரணமாக படகிலிருந்து தவறிவிழுந்து பலி சக மீனவர்களால் உடல் மீட்கப்பட்டு ராமேஸ்வரம் அரசு மருத்துவமனையில் உடல் கூறு சோதனைக்காக கொண்டு செல்லப்பட்டது.,Anger
"*🌹ஒதுக்கப்படுவதை* *நன்கு அறிந்தும்* *ஒட்டிக்கொண்டு வாழ்வதை விட* *அவமானம்"" எதுவாக இருக்கப்போகிறது?!!!**கண்டுகொள்ளப்படாத வயோதிகம்..!🌹❤*",Anger
",😂😂அதான் எனக்கு வேணும்...யார சொன்னா இவனுகளுக்கு கோவம் வரும்னு‌ தெரிஞ்சி தான் சொன்னே",Anger
. அச்சச்சோ அவாக்களுக்குலாம் ஆத்திரம் வந்திருச்சூ நேக்கு பயமாயிருக்கோன்னா வைரமுத்து mindvoice. யோவ் தள்ளிபோயி வெளையாடுங்கய்யா,Anger
11YEARS OF BB POKKIRI 6YRS OF TERAHIT NANBAN#1YrOfBlockbusterBairavaaஅழகிய சூடான பூவே ❤️❤️😍 …,Anger
அடி வாங்கினப்ப கூட இவ்ளோ மானபங்க படல..அடிச்சதுக்கு மன்னிப்பு கேக்குறேன்னு ஊரையே கூட்டி அவமானம் படுத்துறாங்க :),Anger
அடிக்கடி கோபப்படும் நட்பு வாய்ப்பது வரம்...மனதில் ஒன்றை வைத்துவெளியில் ஒன்றை பேசுவதில்லை...#மீள்,Anger
அடிமைத் திராவிடன் அவமானமாக உணராமல் அடிமைத்தனம் சுகம் என்று கருதும் திராவிடன் பொன்னார் என்பது உண்மைதான்.,Anger
அடியாத மாடு படியாது..இதெல்லாம் வைரல்ன்னு!ரெண்டு குழந்தைகளை வீட்டில் வைத்து வளர்க்கத்தெரியாதவர்கள் 60குழந்தைகளை மேய்க்கும் ஆசிரியர்கள் மீது சதா குற்றம் சுமத்துவது வருந்தத்தக்கது.ஆசிரியர்கள் வேண்டுமென்றே அடிப்பதில்லை.உணருங்கள்.இல்லையெனில்கடைசியில் நித்திமடம்தான் சரி.,Anger
அடியே சூடான மழையேஉடம்பில் நனைஞ்சிக்கலாமா..கொடியே வெத்தல கொடியேசுண்ணாம்பு நான் தரலாமா...அழகே...தாவணி பூவே...தேனை எடுத்துக்கலாமா....😍😍,Anger
அடுத்து போராட்டம் சூடு பிடிக்கின்றது 😔😔ஆக மொத்தம் தமிழ்நாட்டுல ஒருத்தனுமே நிம்மதியா இல்ல 😡😡#ரயில்மறியல்,Anger
அடேங்கப்பா தலைக்கு கோவம் வந்திரிச்சு . இனிமே ஆட்சியை புடிச்சு தமிழ்நாட காப்பாத்தாம உக்கார கூட மாட்டாரு நாட்டாம. 😂😂😂😂,Anger
"அடேய்,.. சுண்ணாம்பு எரிச்சல் தாளாம ஓடின இவனுங்கள மறுபடி கூப்பிடுறே... 😇😇😇😇😇",Anger
அணிலுக்கு கோவம் வந்துருச்சு இனி எத்தனை தள உருள போகுது 😂😂🐒 pic.twitter.com/F7KCGKPymh,Anger
"அண்டா திருடியது செல்போன் கடையை அடித்து ,செல்போன் திருடியது. செருப்புக்கடையை தீயிட்டு கொளுத்தியது.மனம் உடைந்தது என்று பஸ் கண்ணாடியை உடைத்து பல பெண்கள் முகத்தில் காயங்களை ஏற்படுத்தியது மேலும் சில காரணங்களால் இந்த விருதை பெற்று இருக்கிறார். விருதுக்கான அவமானம் என்று கடப்போம். …",Anger
அண்ணா ரசிகர்கள் எந்த சூர்யாவ பாக்கணும் னு நெனச்சாங்களோ அது மாதிரி படத்த எடுத்திருப்பிங்கனு நம்புறோம் ப்ரோ. 2 வருஷம் கழிச்சு திரும்பவும் ஒரு நல்ல கதையோட படம் பண்ணனும். ரசிகர்கள் மனசு புண்படும் படி பேசிருந்தா அவங்க சார்பாக நான் மன்னிப்பு கேட்கிறேன்🙏🙏. pic.twitter.com/29HrYGLS2A,Anger
"அதற்க்காக தலைவரே, அவரை, அவருடைய குடும்பத்தை இகழ்வது தகுமா? கீழ்தரமாக அசிங்கப்படுத்துவது முறையா?",Anger
அதான் ப்ரோ...முழு வீடியோ பாருங்க..அவர் ஸ்பீச் காக்காமுட்டைக்கு எதிரானது இல்ல...நமக்கு கோவம் வராது...அங்கயே வளர்ந்த அனுபவிச்ச அவருக்கு தான் அந்த வலி தெரியும் இல்லையா? இல்லனா ஏன் ஒரு மனுஷன் கண்ணு கலங்கனும் பேசறப்ப..ப்ரண்ட்ஸ் செத்தத சொல்றப்பலாம் பாருங்க..ஜென்யூண்டி தெரியும் பேச்சுல,Anger
"அதிக மக்கள் தொகை கொண்ட இந்துக்கள் செய்யும் குற்றங்கள், குறைந்த எண்ணிக்கையில் உள்ள மற்ற மதங்களில் உள்ளவர்கள் செய்யும் குற்றங்கள் அதிகம்..இதற்கே அவர்கள் வெட்கி தலை குணிய வேண்டும்",Anger
அதிகம் கோவம் கொண்டதும் அதைவிட பல மடங்கு அதிகமாக அன்பு கொண்டதும் உன்னிடம் மட்டுமே...😍😘 pic.twitter.com/zw8R9Cs27G,Anger
